CustomerID,Date,Month,Season,Age,Gender,Region,Income,Membership,ProductsPurchased,PurchaseFrequency,AverageOrderValue,DiscountUsed,MarketingChannel,SatisfactionScore,ChurnRisk,CustomerLifetimeValue
1,2026-04-06,April,Q2,29,Female,North,96888,Bronze,7,7,86.38,No,Social Media,4.7,Low,3378.24
2,2026-02-25,February,Q1,60,Female,South,118411,Bronze,12,8,140.02,Yes,Direct,5.0,Low,5321.86
3,2026-06-08,June,Q2,21,Female,East,125889,Silver,11,9,116.8,No,Email,4.1,Low,6865.98
4,2026-04-29,April,Q2,50,Male,East,63167,Bronze,7,5,129.63,No,Email,3.9,Medium,1737.17
5,2026-03-30,March,Q1,23,Male,East,54467,Silver,6,5,109.62,No,Social Media,4.3,Low,3168.77
6,2026-01-31,January,Q1,60,Female,South,108282,Bronze,5,4,101.18,No,Direct,3.3,Medium,1556.55
7,2026-05-28,May,Q2,57,Male,North,89318,Silver,8,5,128.97,No,Social Media,5.0,Low,2723.37
8,2026-08-19,August,Q3,60,Female,North,115309,Bronze,9,6,132.78,No,Social Media,3.9,Medium,3437.97
9,2026-05-16,May,Q2,67,Male,North,128942,Bronze,9,9,70.73,No,Direct,3.9,Medium,1666.88
10,2026-09-26,September,Q3,39,Male,North,105679,Bronze,7,5,134.59,No,Referral,3.7,Medium,2163.99
11,2026-10-21,October,Q4,45,Male,West,33894,Bronze,7,7,135.59,Yes,Referral,4.1,Low,4660.94
12,2026-12-31,December,Q4,50,Male,West,112042,Gold,11,9,258.23,Yes,Referral,3.0,Medium,13761.57
13,2026-07-03,July,Q3,18,Female,North,108477,Silver,12,7,110.65,Yes,Direct,3.3,Medium,2821.16
14,2026-03-12,March,Q1,67,Female,North,130049,Silver,7,5,150.44,No,Social Media,3.4,Medium,2495.04
15,2026-01-17,January,Q1,19,Female,West,142423,Bronze,7,5,76.44,Yes,Direct,4.8,Low,2041.5
16,2026-05-15,May,Q2,23,Female,West,30709,Silver,2,3,149.96,No,Email,4.3,Medium,2047.99
17,2026-08-08,August,Q3,25,Female,West,42896,Bronze,9,5,123.81,No,Social Media,4.8,Low,2650.03
18,2026-03-15,March,Q1,56,Male,South,100644,Gold,7,5,117.02,No,Email,4.5,Low,2901.98
19,2026-12-04,December,Q4,46,Female,South,109846,Silver,12,8,261.79,No,Referral,3.9,Medium,13473.89
20,2026-03-20,March,Q1,68,Male,North,37487,Gold,5,6,175.22,No,Email,3.5,Medium,4542.45
21,2026-06-25,June,Q2,41,Male,North,140004,Gold,5,5,167.18,No,Direct,3.8,Medium,4241.11
22,2026-01-20,January,Q1,20,Male,North,28717,Bronze,6,4,125.86,Yes,Direct,4.3,Medium,2172.74
23,2026-06-20,June,Q2,50,Female,West,69960,Platinum,15,11,108.55,No,Referral,5.0,Low,7570.79
24,2026-09-18,September,Q3,37,Male,East,71895,Bronze,9,6,115.69,No,Email,4.0,Low,3496.31
25,2026-12-22,December,Q4,36,Male,South,116450,Bronze,12,7,100.46,Yes,Social Media,4.6,Low,4066.85
26,2026-01-05,January,Q1,46,Female,North,116026,Silver,5,5,146.17,No,Direct,2.9,High,1690.34
27,2026-05-11,May,Q2,70,Male,North,77156,Silver,10,6,127.26,No,Referral,4.1,Low,4269.64
28,2026-03-09,March,Q1,28,Male,North,61856,Bronze,7,6,113.29,No,Email,4.9,Low,2364.79
29,2026-08-31,August,Q3,43,Female,East,80187,Bronze,11,9,169.32,Yes,Email,3.7,Medium,4531.77
30,2026-09-09,September,Q3,55,Male,West,143713,Silver,6,6,122.41,No,Email,3.5,Medium,3212.74
31,2026-11-27,November,Q4,45,Female,West,119023,Bronze,9,8,163.26,Yes,Social Media,2.9,High,4677.49
32,2026-07-11,July,Q3,47,Female,West,47485,Bronze,9,7,58.47,No,Email,4.0,Low,1916.4
33,2026-11-22,November,Q4,19,Female,West,83205,Silver,17,11,201.35,Yes,Social Media,4.1,Low,13298.49
34,2026-09-29,September,Q3,38,Male,South,127302,Gold,11,7,173.79,No,Referral,3.6,Medium,6414.91
35,2026-08-17,August,Q3,32,Female,North,49086,Bronze,7,5,130.65,Yes,Referral,4.3,Low,2957.32
36,2026-06-28,June,Q2,36,Male,North,92566,Bronze,8,5,173.2,No,Social Media,3.8,Medium,3752.18
37,2026-05-09,May,Q2,47,Female,West,78409,Gold,7,6,90.61,No,Social Media,3.7,Medium,2355.19
38,2026-12-08,December,Q4,20,Male,East,40827,Gold,15,11,203.19,Yes,Referral,4.8,Low,23011.43
39,2026-09-07,September,Q3,69,Male,South,114877,Silver,9,6,150.23,No,Referral,3.2,Medium,3940.46
40,2026-02-11,February,Q1,30,Female,South,49850,Silver,11,9,118.19,Yes,Social Media,3.3,Medium,3460.9
41,2026-10-13,October,Q4,59,Male,West,40666,Gold,7,7,158.01,No,Referral,3.8,Medium,4751.85
42,2026-07-24,July,Q3,40,Female,East,82975,Bronze,6,4,25.91,No,Email,2.1,High,247.33
43,2026-05-07,May,Q2,38,Female,East,99638,Platinum,9,10,145.31,No,Referral,4.4,Low,8184.32
44,2026-05-01,May,Q2,69,Female,West,76215,Gold,7,9,191.64,No,Email,3.3,Medium,5717.55
45,2026-09-08,September,Q3,40,Female,South,67816,Silver,6,4,77.98,No,Direct,3.4,Medium,1284.47
46,2026-09-17,September,Q3,59,Female,South,51955,Bronze,7,6,139.53,No,Referral,4.0,Low,3472.93
47,2026-06-26,June,Q2,35,Male,East,99021,Bronze,6,6,115.41,Yes,Direct,4.6,Low,2562.38
48,2026-09-04,September,Q3,64,Male,North,125563,Silver,9,6,137.43,Yes,Social Media,4.5,Low,3269.02
49,2026-08-28,August,Q3,56,Male,East,52702,Bronze,13,8,75.13,Yes,Referral,2.6,High,1399.03
50,2026-02-27,February,Q1,23,Male,South,80430,Bronze,7,6,238.0,Yes,Direct,4.5,Low,6738.96
51,2026-07-12,July,Q3,20,Male,East,102399,Bronze,10,6,136.71,Yes,Direct,3.7,Medium,2936.06
52,2026-04-17,April,Q2,34,Female,North,124178,Gold,10,7,142.39,Yes,Social Media,3.7,Medium,3353.95
53,2026-08-07,August,Q3,50,Male,South,125266,Bronze,9,5,90.26,No,Email,3.5,Medium,1820.84
54,2026-09-12,September,Q3,57,Male,East,98146,Bronze,6,7,160.69,Yes,Email,4.8,Low,5210.04
55,2026-11-07,November,Q4,66,Male,North,47649,Bronze,6,5,185.49,Yes,Referral,4.8,Low,4881.83
56,2026-10-12,October,Q4,24,Male,South,95801,Bronze,8,7,116.76,Yes,Social Media,3.2,Medium,3453.73
57,2026-04-09,April,Q2,53,Female,North,143377,Bronze,7,6,119.23,No,Social Media,3.1,Medium,2013.45
58,2026-05-02,May,Q2,59,Male,West,41619,Bronze,8,6,119.61,No,Direct,4.4,Low,4009.11
59,2026-09-24,September,Q3,61,Female,West,28674,Silver,3,2,168.46,Yes,Email,4.1,High,786.38
60,2026-05-25,May,Q2,53,Male,South,119971,Gold,6,4,183.88,Yes,Referral,4.2,Medium,3684.25
61,2026-07-21,July,Q3,43,Male,North,25852,Bronze,1,1,86.57,No,Direct,4.5,High,316.27
62,2026-02-05,February,Q1,23,Female,North,96073,Silver,12,8,142.51,No,Social Media,3.2,Medium,5667.02
63,2026-11-18,November,Q4,22,Male,South,42334,Silver,6,7,175.58,Yes,Email,3.9,Medium,4584.07
64,2026-04-25,April,Q2,55,Female,North,116051,Gold,7,6,76.65,No,Email,4.7,Low,2180.23
65,2026-12-11,December,Q4,45,Male,North,126731,Bronze,10,8,148.27,Yes,Referral,3.4,Medium,4281.49
66,2026-05-31,May,Q2,56,Female,South,105067,Gold,11,7,143.93,No,Social Media,3.5,Medium,4679.46
67,2026-01-14,January,Q1,49,Male,West,59888,Platinum,4,4,234.86,No,Email,3.2,Medium,4357.49
68,2026-08-27,August,Q3,34,Male,North,74193,Bronze,2,2,89.01,Yes,Referral,4.0,High,493.62
69,2026-01-03,January,Q1,67,Male,North,55250,Bronze,4,4,44.47,Yes,Email,3.9,Medium,731.41
70,2026-11-26,November,Q4,36,Female,North,54440,Bronze,9,5,150.0,Yes,Email,3.9,Medium,4186.76
71,2026-11-20,November,Q4,56,Female,West,96223,Bronze,11,10,113.76,No,Direct,3.5,Medium,4159.15
72,2026-01-08,January,Q1,21,Male,North,86641,Bronze,4,5,172.21,Yes,Referral,4.0,Low,3066.53
73,2026-03-18,March,Q1,64,Male,South,108683,Bronze,5,5,104.51,No,Referral,3.8,Medium,1903.04
74,2026-06-27,June,Q2,51,Female,West,33914,Silver,9,7,100.08,Yes,Referral,3.1,Medium,2598.23
75,2026-07-29,July,Q3,53,Male,South,70031,Platinum,11,8,226.29,No,Direct,4.5,Low,11257.1
76,2026-01-19,January,Q1,58,Male,South,138057,Silver,4,4,136.73,No,Direct,4.4,Medium,2366.53
